Year,Rank,Girls,Boys
2017,1,Emma,James
2017,2,Isabella,Noah
2017,3,Olivia,Daniel
2017,4,Mia,Benjamin
2017,5,Evelyn,William
2017,6,Sophia,Oliver
2017,7,Ava,Liam
2017,8,Abigail,Alexander
2017,9,Charlotte,Sebastian
2017,10,Emily,Henry
2016,1,Olivia,William
2016,2,Mia,Alexander
2016,3,Isabella,Ethan
2016,4,Sophia,Noah
2016,5,Elizabeth,Oliver
2016,6,Ava,Benjamin
2016,7,Emma,Liam
2016,8,Charlotte,Jacob
2016,9,Sofia,James
2016,10,Camila/ Emily*,Mathew
2015,1,Olivia,Liam
2015,2,Sophia,Noah
2015,3,Emma,William
2015,4,Sofia,James
2015,5,Ava,Alexander
2015,6,Evelyn,Jacob
2015,7,Emily,Luke
2015,8,Abigail,David
2015,9,Isabella,Dylan
2015,10,Mia,Henry
2014,1,Olivia,Noah
2014,2,Emma,William
2014,3,Isabella,Michael
2014,4,Sofia,Alexander
2014,5,Mia,Benjamin
2014,6,Sophia,James
2014,7,Ava,Anthony
2014,8,Charlotte,Jacob
2014,9,Emily,Liam
2014,10,Abigail,Daniel/Ethan*
2013,1,Olivia,Alexander
2013,2,Sophia,William
2013,3,Emily,Noah
2013,4,Isabella,Jacob
2013,5,Emma,Benjamin
2013,6,Mia,Ethan
2013,7,Abigail,David
2013,8,Avery,Liam
2013,9,Ava,Andrew
2013,10,Sofia,Christopher/ James/ John/ Luke*
2012,1,Sophia,William
2012,2,Isabella,Alexander
2012,3,Emma,Ethan
2012,4,Olivia,Noah
2012,5,Ava,Christopher
2012,6,Abigail,Jacob
2012,7,Mia,David
2012,8,Emily,James
2012,9,Sofia,Benjamin
2012,10,Harper,Matthew
2011,1,Sophia,Jacob
2011,2,Isabella,William
2011,3,Olivia,Alexander
2011,4,Emma,Daniel
2011,5,Abigail,Noah
2011,6,Ava,David
2011,7,Emily,Mason
2011,8,Addison,John
2011,9,Elizabeth,Benjamin
2011,10,Sofia,Ethan
2010,1,Sophia,William
2010,2,Isabella,Jacob
2010,3,Ava,Alexander
2010,4,Abigail,Noah
2010,5,Emma,Christopher
2010,6,Olivia,Daniel
2010,7,Emily,John
2010,8,Avery,Andrew
2010,9,Chloe,Michael
2010,10,Elizabeth,Angel
2009,1,Isabella,William
2009,2,Mia,Jose
2009,3,Sophia,Daniel
2009,4,Emily,Alexander
2009,5,Ava,Christopher
2009,6,Emma,Andrew
2009,7,Olivia,Jacob
2009,8,Elizabeth,Angel
2009,9,Natalie,Michael
2009,10,Ashley,Joshua
2008,1,Isabella,Alexander
2008,2,Sophia,Daniel
2008,3,Emily,David
2008,4,Abigail,Angel
2008,5,Emma,Jacob
2008,6,Ava,Michael
2008,7,Olivia,John
2008,8,Ashley,Joshua
2008,9,Elizabeth,William
2008,10,Madison/ Natalie*,Christopher/ Noah*